Oil: Crude oil prices 1861 - 2013,,
,,
US dollars per barrel,,
Year,$ money of the day,$ 2013
1861,0.49,12.65
1862,1.05,24.40
1863,3.15,59.36
1864,8.06,119.56
1865,6.59,99.88
1866,3.74,59.26
1867,2.41,40.01
1868,3.63,63.27
1869,3.64,63.45
1870,3.86,70.82
1871,4.34,84.05
1872,3.64,70.50
1873,1.83,35.44
1874,1.17,23.99
1875,1.35,28.52
1876,2.56,55.78
1877,2.42,52.73
1878,1.19,28.61
1879,0.86,21.41
1880,0.95,22.84
1881,0.86,20.68
1882,0.78,18.75
1883,1.00,24.90
1884,0.84,21.69
1885,0.88,22.72
1886,0.71,18.33
1887,0.67,17.30
1888,0.88,22.72
1889,0.94,24.27
1890,0.87,22.47
1891,0.67,17.30
1892,0.56,14.46
1893,0.64,16.53
1894,0.84,22.53
1895,1.36,37.93
1896,1.18,32.91
1897,0.79,22.03
1898,0.91,25.38
1899,1.29,35.98
1900,1.19,33.19
1901,0.96,26.77
1902,0.80,21.45
1903,0.94,24.27
1904,0.86,22.21
1905,0.62,16.01
1906,0.73,18.85
1907,0.72,17.93
1908,0.72,18.59
1909,0.70,18.08
1910,0.61,15.19
1911,0.61,15.19
1912,0.74,17.79
1913,0.95,22.30
1914,0.81,18.76
1915,0.64,14.68
1916,1.10,23.45
1917,1.56,28.32
1918,1.98,30.60
1919,2.01,27.06
1920,3.07,35.68
1921,1.73,22.51
1922,1.61,22.36
1923,1.34,18.28
1924,1.43,19.47
1925,1.68,22.31
1926,1.88,24.73
1927,1.30,17.43
1928,1.17,15.90
1929,1.27,17.26
1930,1.19,16.59
1931,0.65,9.94
1932,0.87,14.83
1933,0.67,12.04
1934,1.00,17.39
1935,0.97,16.45
1936,1.09,18.32
1937,1.18,19.14
1938,1.13,18.67
1939,1.02,17.10
1940,1.02,16.93
1941,1.14,18.03
1942,1.19,17.00
1943,1.20,16.16
1944,1.21,16.01
1945,1.05,13.58
1946,1.12,13.35
1947,1.90,19.80
1948,1.99,19.24
1949,1.78,17.39
1950,1.71,16.54
1951,1.71,15.32
1952,1.71,15.00
1953,1.93,16.79
1954,1.93,16.71
1955,1.93,16.78
1956,1.93,16.54
1957,1.90,15.71
1958,2.08,16.75
1959,2.08,16.61
1960,1.90,14.93
1961,1.80,14.01
1962,1.80,13.85
1963,1.80,13.69
1964,1.80,13.50
1965,1.80,13.28
1966,1.80,12.92
1967,1.80,12.55
1968,1.80,12.05
1969,1.80,11.43
1970,1.80,10.79
1971,2.24,12.87
1972,2.48,13.81
1973,3.29,17.25
1974,11.58,54.74
1975,11.53,49.93
1976,12.80,52.39
1977,13.92,53.47
1978,14.02,50.09
1979,31.61,101.43
1980,36.83,104.12
1981,35.93,92.08
1982,32.97,79.59
1983,29.55,69.12
1984,28.78,64.53
1985,27.56,59.67
1986,14.43,30.67
1987,18.44,37.80
1988,14.92,29.39
1989,18.23,34.24
1990,23.73,42.29
1991,20.00,34.21
1992,19.32,32.08
1993,16.97,27.36
1994,15.82,24.86
1995,17.02,26.01
1996,20.67,30.69
1997,19.09,27.71
1998,12.72,18.17
1999,17.97,25.13
2000,28.50,38.55
2001,24.44,32.15
2002,25.02,32.40
2003,28.83,36.50
2004,38.27,47.19
2005,54.52,65.03
2006,65.14,75.28
2007,72.39,81.33
2008,97.26,105.23
2009,61.67,66.97
2010,79.50,84.93
2011,111.26,115.22
2012,111.67,113.31
2013,108.66,108.66
,,
1861-1944 US Average.,,
1945-1983 Arabian Light posted at Ras Tanura.,,
1984-2013 Brent dated.,,
