Month,Total CPI,Total CPI S.A.,Core CPI,% Change 1 Yr: Total CPI,% Change 1 Yr: Core CPI,% Change 1 Yr: CPI-XFET,% Change 1 Yr: CPIW
10/31/2014,125.9,125.9,124.4,2.4,2.3,2,1.9
9/30/2014,125.8,125.8,124,2,2.1,1.9,1.9
8/31/2014,125.7,125.6,123.7,2.1,2.1,2,1.8
7/31/2014,125.7,125.5,123.1,2.1,1.7,1.5,1.7
6/30/2014,125.9,125.6,123.2,2.4,1.8,1.5,1.9
5/31/2014,125.8,125.2,123.3,2.3,1.7,1.4,1.8
4/30/2014,125.2,124.9,122.7,2,1.4,1.3,1.6
3/31/2014,124.8,124.5,122.5,1.5,1.3,1.3,1.3
2/28/2014,124.1,124.1,122.1,1.1,1.2,1.2,1.2
1/31/2014,123.1,123.7,121.3,1.5,1.4,1.3,1.5
12/31/2013,122.7,123.5,121,1.2,1.3,1,1.3
11/30/2013,123,123.2,121.5,0.9,1.1,0.7,1.1
10/31/2013,123,123,121.6,0.7,1.2,0.9,1
9/30/2013,123.3,123.2,121.4,1.1,1.3,0.9,1.2
8/31/2013,123.1,123,121.2,1.1,1.3,0.9,1.3
7/31/2013,123.1,123,121,1.3,1.4,1.1,1.4
6/30/2013,123,122.9,121,1.2,1.3,0.9,1.2
5/31/2013,123,122.4,121.2,0.7,1.1,0.6,1
4/30/2013,122.7,122.2,121,0.4,1.1,0.6,1
3/31/2013,122.9,122.8,120.9,1,1.4,0.9,1.3
2/28/2013,122.7,122.9,120.6,1.2,1.4,1,1.3
1/31/2013,121.3,121.9,119.6,0.5,1,0.5,0.9
12/31/2012,121.2,121.9,119.5,0.8,1.1,0.7,1.1
11/30/2012,121.9,122,120.2,0.8,1.2,0.8,1.1
10/31/2012,122.2,122.2,120.2,1.2,1.3,0.9,1.2
9/30/2012,122,121.9,119.9,1.2,1.3,0.7,1.2
8/31/2012,121.8,121.7,119.7,1.2,1.6,1,1.4
7/31/2012,121.5,121.3,119.3,1.3,1.7,1.2,1.4
6/30/2012,121.6,121.4,119.4,1.5,2,1.6,1.6
5/31/2012,122.1,121.5,119.9,1.2,1.8,1.4,1.5
4/30/2012,122.2,122,119.7,2,2.1,1.8,2
3/31/2012,121.7,121.4,119.2,1.9,1.9,1.4,1.7
