1date	CPIAUCSL	UNRATE	PAYEMS	INDPRO	PSAVERT	HOUST	PCE	NAPM	CIVPART	PCEPI	USSLIND	CPILFESL	M1SL	AHETPI	M2SL	AMBSL	EMRATIO	BUSLOANS	TCU	DSPIC96	ALTSALES	UNEMPLOY	HSN1F	CE16OV	TOTALSL	A229RX0	PERMIT	CLF16OV	UEMPMEAN	FRBLMCI	PCEPILFE	ADJRESSL	CES1021210001	PPIFGS	LNS11300002	PCEDG	MANEMP	NAPMNOI	AWHMAN	TOTALSA	LNS12032194	TCDSL	CPIFABSL	USPRIV	LFWA64TTUSM647S	MSACSR	LNS14000024	CPIMEDSL	IPMAN	CURRSL	PI	UEMP27OV	LNS12500000	USPHCI	CONSUMER	CPALTT01USM661S	LFWA64TTJPM647S	REALLN	DSPI	M2REAL	SAVINGSL	PCETRIM12M159SFRBDAL	RPI	USGOVT	LNS11300001	PPILFE	MCUMFN	A576RC1	LNS12024230	HOUST1F	CPITRNSL	DPCERL1M225NBEA	USCONS	CSCICP03USM665S
m	pch	lin	pch	pch	lin	pch	pch	pch	lin	pch	lin	pch	pch	pch	pch	pch	lin	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	lin	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	lin	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	pch	lin	pch	pch	pch	pch	pch	pch	pch	pch	pch
Jan-86	Percent Change	Percent	Percent Change	Percent Change	Percent	Percent Change	Percent Change	Percent Change	Percent	Percent Change	Percent	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change		Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change		Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change		Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change	Percent Change
Nov-14	Consumer Price Index for All Urban Consumers: All Items	Civilian Unemployment Rate	All Employees: Total nonfarm	Industrial Production Index	Personal Saving Rate	Housing Starts: Total: New Privately Owned Housing Units Started	Personal Consumption Expenditures	ISM Manufacturing: PMI Composite Index??	Civilian Labor Force Participation Rate	Personal Consumption Expenditures: Chain-type Price Index	Leading Index for the United States	Consumer Price Index for All Urban Consumers: All Items Less Food & Energy	M1 Money Stock	Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private	M2 Money Stock	St. Louis Adjusted Monetary Base	Civilian Employment-Population Ratio	"Commercial and Industrial Loans, All Commercial Banks"	Capacity Utilization: Total Industry	Real Disposable Personal Income	Light Weight Vehicle Sales: Autos & Light Trucks	Unemployed	New One Family Houses Sold: United States	Civilian Employment	"Total Consumer Credit Owned and Securitized, Outstanding"	Real Disposable Personal Income: Per capita	New Private Housing Units Authorized by Building Permits	Civilian Labor Force	Average (Mean) Duration of Unemployment	Labor Market Conditions Index	Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index)	St. Louis Adjusted Reserves	All Employees: Mining and Logging: Coal Mining	Producer Price Index: Finished Goods	Civilian Labor Force Participation Rate - Women	Personal Consumption Expenditures: Durable Goods	All Employees: Manufacturing	ISM Manufacturing: New Orders Index??	Average Weekly Hours of Production and Nonsupervisory Employees: Manufacturing	Total Vehicle Sales	"Employment Level - Part-Time for Economic Reasons, All Industries"	Total Checkable Deposits	Consumer Price Index for All Urban Consumers: Food and Beverages	All Employees: Total Private Industries	Working Age Population: Aged 15-64: All Persons for the United States??	Monthly Supply of Homes in the United States	Unemployment Rate - 20 years and over	Consumer Price Index for All Urban Consumers: Medical Care	Industrial Production: Manufacturing (NAICS)	Currency Component of M1	Personal Income	Number of Civilians Unemployed for 27 Weeks and Over	"Employed, Usually Work Full Time"	Coincident Economic Activity Index for the United States	Consumer Loans at All Commercial Banks	Consumer Price Index: Total All Items for the United States??	Working Age Population: Aged 15-64: All Persons for Japan??	"Real Estate Loans, All Commercial Banks"	Disposable Personal Income	Real M2 Money Stock	Savings Deposits - Total	Trimmed Mean PCE Inflation Rate	Real Personal Income	All Employees: Government	Labor Force Participation Rate - Men	Producer Price Index: Finished Goods Less Food & Energy	Capacity Utilization: Manufacturing (NAICS)	"Compensation of Employees, Received: Wage and Salary Disbursements"	Employment Level - 55 years and over	Privately Owned Housing Starts: 1-Unit Structures	Consumer Price Index for All Urban Consumers: Transportation	Real personal consumption expenditures	All Employees: Construction	Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States??
	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System	US. Bureau of Economic Analysis	US. Bureau of the Census	US. Bureau of Economic Analysis	Institute for Supply Management	US. Bureau of Labor Statistics	US. Bureau of Economic Analysis	Federal Reserve Bank of Philadelphia	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	Federal Reserve Bank of St. Louis	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	Board of Governors of the Federal Reserve System	US. Bureau of Economic Analysis	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	US. Bureau of the Census	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	US. Bureau of Economic Analysis	US. Bureau of the Census	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	US. Bureau of Economic Analysis	Federal Reserve Bank of St. Louis	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	Institute for Supply Management	US. Bureau of Labor Statistics	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System (US)	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Organisation for Economic Co-operation and Development	US. Bureau of the Census	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System	Board of Governors of the Federal Reserve System (US)	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Federal Reserve Bank of Philadelphia	Board of Governors of the Federal Reserve System (US)	Organisation for Economic Co-operation and Development	Organisation for Economic Co-operation and Development	Board of Governors of the Federal Reserve System (US)	US. Bureau of Economic Analysis	Federal Reserve Bank of St. Louis	Board of Governors of the Federal Reserve System (US)	Federal Reserve Bank of Dallas	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	US. Bureau of Labor Statistics	Board of Governors of the Federal Reserve System	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	US. Bureau of the Census	US. Bureau of Labor Statistics	US. Bureau of Economic Analysis	US. Bureau of Labor Statistics	Organisation for Economic Co-operation and Development
date	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value		value	value	value	value	value	value	value	value	value	value	value		value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value		value	value	value	value	value	value	value	value	value
1/1/1986	0.3653	6.7	0.12676	0.47885	8	1.5448	0.5491	0.98619	64.9	0.468	1.36	0.44883	0.25815	-0.22548	0.4052	-0.28757	60.6	0.2936	0.37831	0.06826	2.5606	-4.21479	1.66436	0.62006	0.99911	0.0043	2.95429	0.2819	-1.98675	254.54545	0.54697	-3.21105	1.1323	-0.4717	54.7	2.60736	-0.03956	3.46715	-0.489	2.54777	0.52612	0.22401	0.18639	0.12696	0.21095	-1.72414	5.9	0.76857	1.11023	0.41741	0.284	-9.79253	0.59608	0.26907	0.74356	0.3653	0.10763	1.16404	0.53518	0.04393	0.23304	2.74725	-0.18384	0.12579	76.2	0.18332	0.90206	-0.17021	0.50512	13.08994	0.46512	-90.90909	0.42971	0.18508
2/1/1986	-0.18198	7.2	0.10837	-0.71413	8.7	-6.28803	-0.25015	-0.39063	65	0.00346	1.32	0.2681	0.61152	0.33898	0.42754	0.30978	60.3	0.06092	-0.75377	0.51875	-4.15056	7.78704	-0.68213	-0.37378	0.82141	0.45609	-4.33135	0.17141	2.7027	46.15385	0.26167	-1.00189	-0.29464	-1.32701	54.8	-2.98954	-0.13005	0.70547	0	-4.96894	-5.10738	0.60349	-0.09302	0.07681	0.13632	5.26316	6.3	0.67797	-0.53	0.59382	0.49215	8.83165	-0.55586	0.24501	0.64419	-0.18198	0.15655	1.1206	0.52299	0.61037	0.30592	-6.68449	0.48903	0.26324	76.2	0.18298	-0.51086	0.4092	-1.417	-10	-0.92593	-400	-0.0815	0.08802
3/1/1986	-0.54695	7.2	0.0951	-0.64699	9.3	1.51515	0.12362	0	65.1	-0.22165	1.36	0.26738	1.32758	0.11261	0.80767	1.2386	60.5	0.92448	-0.75949	1.025	-8.10525	-0.22614	20.87912	0.32909	0.44185	0.95944	0.73571	0.28918	-3.94737	-47.36842	0.29876	3.91684	-0.70922	-1.2488	55.1	-1.36107	-0.2208	-4.55342	0	-7.18954	5.64854	1.55521	0.18622	0.11939	0.08677	-21.66667	6.3	0.75758	-0.28483	0.76741	0.72503	-0.84531	0.58021	0.23277	0.48254	-0.54695	0.10727	1.14046	0.80518	1.36173	0.53678	-6.01719	0.9496	-0.02387	76.2	0.09132	-0.38511	0.74714	0.6231	3.2371	-3.17757	-200	0.20392	0.02498
4/1/1986	-0.36664	7.1	0.18901	0.05834	9.1	3.03838	0.41627	-2.54902	65.1	-0.21172	1.33	0.35556	1.1839	0	0.97486	0.73126	60.5	0.49041	-0.12755	0.40124	12.07914	-0.22665	-2.61364	0.10566	1.02402	0.33092	4.38202	0.0819	0.68493	-40	0.16948	0.49383	0.05952	-0.48638	55.1	5.18094	-0.04539	-0.18349	-0.4914	11.97183	4.86049	1.46576	0.18587	0.21538	0.09245	0	6.2	0.5848	0.15968	0.41008	0.14125	0.08525	-0.0189	0.22062	0.54048	-0.36664	0.02174	1.12479	0.1874	1.34344	1.33479	1.52439	0.35373	0.05968	76.2	0.4562	0	-0.17818	0.33777	1.44068	-2.50965	100	0.7326	0.04018
5/1/1986	0.27599	7.2	0.12812	0.19824	8.6	-4.08691	0.79044	7.44467	65.2	0.17565	1.38	0.17715	1.71607	0.11249	1.05926	0.96375	60.5	0.03508	0.12771	0.12852	2.94627	0.8967	-7.93466	0.12574	0.99447	0.05074	-3.2831	0.18071	0	61.11111	0.16235	1.58164	-1.42772	0.48876	55.2	2.52475	-0.13056	12.31618	0.49383	2.51572	1.42489	2.11298	0.37106	0.12385	0.13161	10.6383	6.3	0.66445	0.182	0.75846	0.32549	-0.51107	0.10339	0.23172	0.63343	0.27599	-0.14027	1.09418	0.30357	0.78178	1.84409	-2.4024	0.14817	0.14912	76.2	0.09083	0.12887	0.38593	0.78547	2.58981	0.39604	0	-0.52525	0.0589
