Date,CPI
10/31/2014,2.4
9/30/2014,2
8/31/2014,2.1
7/31/2014,2.1
6/30/2014,2.4
5/31/2014,2.3
4/30/2014,2
3/31/2014,1.5
2/28/2014,1.1
1/31/2014,1.5
12/31/2013,1.2
11/30/2013,0.9
10/31/2013,0.7
9/30/2013,1.1
8/31/2013,1.1
7/31/2013,1.3
6/30/2013,1.2
5/31/2013,0.7
4/30/2013,0.4
3/31/2013,1
2/28/2013,1.2
1/31/2013,0.5
12/31/2012,0.8
11/30/2012,0.8
10/31/2012,1.2
9/30/2012,1.2
8/31/2012,1.2
7/31/2012,1.3
6/30/2012,1.5
5/31/2012,1.2
4/30/2012,2
3/31/2012,1.9
2/29/2012,2.6
1/31/2012,2.5
12/31/2011,2.3
11/30/2011,2.9
10/31/2011,2.9
9/30/2011,3.2
8/31/2011,3.1
7/31/2011,2.7
6/30/2011,3.1
5/31/2011,3.7
4/30/2011,3.3
3/31/2011,3.3
2/28/2011,2.2
1/31/2011,2.3
12/31/2010,2.4
11/30/2010,2
10/31/2010,2.4
9/30/2010,1.9
8/31/2010,1.7
7/31/2010,1.8
6/30/2010,1
5/31/2010,1.4
4/30/2010,1.8
3/31/2010,1.4
2/28/2010,1.6
1/31/2010,1.9
12/31/2009,1.3
11/30/2009,1
10/31/2009,0.1
9/30/2009,-0.9
8/31/2009,-0.8
7/31/2009,-0.9
6/30/2009,-0.3
5/31/2009,0.1
4/30/2009,0.4
3/31/2009,1.2
2/28/2009,1.4
1/31/2009,1.1
12/31/2008,1.2
11/30/2008,2
10/31/2008,2.6
9/30/2008,3.4
8/31/2008,3.5
7/31/2008,3.4
6/30/2008,3.1
5/31/2008,2.2
4/30/2008,1.7
3/31/2008,1.4
2/29/2008,1.8
1/31/2008,2.2
12/31/2007,2.4
11/30/2007,2.5
10/31/2007,2.4
9/30/2007,2.5
8/31/2007,1.7
7/31/2007,2.2
6/30/2007,2.2
5/31/2007,2.2
4/30/2007,2.2
3/31/2007,2.3
2/28/2007,2
1/31/2007,1.1
12/31/2006,1.7
11/30/2006,1.4
10/31/2006,1
9/30/2006,0.7
8/31/2006,2.1
7/31/2006,2.3
6/30/2006,2.4
5/31/2006,2.8
4/30/2006,2.4
3/31/2006,2.2
2/28/2006,2.2
1/31/2006,2.8
12/31/2005,2.1
11/30/2005,2
10/31/2005,2.6
9/30/2005,3.2
8/31/2005,2.6
7/31/2005,2
6/30/2005,1.7
5/31/2005,1.6
4/30/2005,2.4
3/31/2005,2.3
2/28/2005,2.1
1/31/2005,1.9
12/31/2004,2.1
11/30/2004,2.4
10/31/2004,2.3
9/30/2004,1.8
8/31/2004,1.8
7/31/2004,2.3
6/30/2004,2.5
5/31/2004,2.4
4/30/2004,1.7
3/31/2004,0.8
2/29/2004,0.7
1/31/2004,1.3
12/31/2003,2.1
11/30/2003,1.6
10/31/2003,1.6
9/30/2003,2.2
8/31/2003,2
7/31/2003,2.1
6/30/2003,2.6
5/31/2003,2.8
4/30/2003,2.9
3/31/2003,4.2
2/28/2003,4.7
1/31/2003,4.5
12/31/2002,3.8
11/30/2002,4.4
10/31/2002,3.2
9/30/2002,2.3
8/31/2002,2.5
7/31/2002,2.1
6/30/2002,1.2
5/31/2002,1.1
4/30/2002,1.7
3/31/2002,1.9
2/28/2002,1.4
1/31/2002,1.3
12/31/2001,0.7
11/30/2001,0.6
10/31/2001,1.9
9/30/2001,2.6
8/31/2001,2.8
7/31/2001,2.7
6/30/2001,3.4
5/31/2001,3.9
4/30/2001,3.5
3/31/2001,2.4
2/28/2001,2.9
1/31/2001,3
12/31/2000,3.2
11/30/2000,3.2
10/31/2000,2.8
9/30/2000,2.7
8/31/2000,2.6
7/31/2000,2.9
6/30/2000,2.8
5/31/2000,2.4
4/30/2000,2.2
3/31/2000,3
2/29/2000,2.7
1/31/2000,2.2
12/31/1999,2.6
11/30/1999,2.2
10/31/1999,2.3
9/30/1999,2.6
8/31/1999,2.1
7/31/1999,1.9
6/30/1999,1.6
5/31/1999,1.5
4/30/1999,1.6
3/31/1999,1
2/28/1999,0.7
1/31/1999,0.7
12/31/1998,1
11/30/1998,1.2
10/31/1998,1.1
9/30/1998,0.7
8/31/1998,0.9
7/31/1998,1
6/30/1998,1
5/31/1998,1.1
4/30/1998,0.9
3/31/1998,1
2/28/1998,1
1/31/1998,1.1
12/31/1997,0.8
11/30/1997,0.9
10/31/1997,1.5
9/30/1997,1.7
8/31/1997,1.8
7/31/1997,1.7
6/30/1997,1.7
5/31/1997,1.5
4/30/1997,1.7
3/31/1997,1.9
2/28/1997,2.3
1/31/1997,2.2
12/31/1996,2.2
11/30/1996,1.9
10/31/1996,1.8
9/30/1996,1.5
8/31/1996,1.5
7/31/1996,1.3
6/30/1996,1.5
5/31/1996,1.5
4/30/1996,1.4
3/31/1996,1.5
2/29/1996,1.3
1/31/1996,1.6
12/31/1995,1.7
11/30/1995,2.1
10/31/1995,2.3
9/30/1995,2.2
8/31/1995,2.2
7/31/1995,2.6
6/30/1995,2.7
5/31/1995,2.9
4/30/1995,2.5
3/31/1995,2.1
2/28/1995,1.9
1/31/1995,0.6
12/31/1994,0.2
11/30/1994,-0.1
10/31/1994,-0.2
9/30/1994,0.2
8/31/1994,0.1
7/31/1994,0.1
6/30/1994,0
5/31/1994,-0.2
4/30/1994,0.2
3/31/1994,0.2
2/28/1994,0.1
1/31/1994,1.3
12/31/1993,1.7
11/30/1993,1.9
10/31/1993,1.9
9/30/1993,1.8
8/31/1993,1.8
7/31/1993,1.7
6/30/1993,1.7
5/31/1993,1.9
4/30/1993,1.8
3/31/1993,1.9
2/28/1993,2.4
1/31/1993,2
12/31/1992,2.2
11/30/1992,1.7
10/31/1992,1.6
9/30/1992,1.3
8/31/1992,1.1
7/31/1992,1.2
6/30/1992,1.1
5/31/1992,1.3
4/30/1992,1.7
3/31/1992,1.6
2/29/1992,1.6
1/31/1992,1.6
12/31/1991,3.8
11/30/1991,4.1
10/31/1991,4.4
9/30/1991,5.5
8/31/1991,6
7/31/1991,6
6/30/1991,6.3
5/31/1991,6.2
4/30/1991,6.2
3/31/1991,6.2
2/28/1991,6.2
1/31/1991,6.9
12/31/1990,5
11/30/1990,5.1
10/31/1990,4.7
9/30/1990,4.2
8/31/1990,4.1
7/31/1990,4.1
6/30/1990,4.4
5/31/1990,4.4
4/30/1990,5
3/31/1990,5.3
2/28/1990,5.5
1/31/1990,5.5
