Month,Exports,Imports,Balance
1/1/1985,3779.6,5319.1,-1539.5
2/1/1985,3706.6,5548.5,-1841.9
3/1/1985,4246.2,6075.3,-1829.1
4/1/1985,4171.7,5976.2,-1804.5
5/1/1985,4467.5,6041.7,-1574.2
6/1/1985,4570.5,6291.8,-1721.3
7/1/1985,3720.9,5073.1,-1352.2
8/1/1985,3502,4813.7,-1311.7
9/1/1985,4030,6153.8,-2123.8
10/1/1985,4085.3,6077.9,-1992.6
11/1/1985,3695.7,5695.6,-1999.9
12/1/1985,3275,5939.7,-2664.7
1/1/1986,3999.1,5680.7,-1681.6
2/1/1986,3786,5659.5,-1873.5
3/1/1986,3659.2,5922.9,-2263.7
4/1/1986,4057.3,5821.1,-1763.8
5/1/1986,3780.9,5922.5,-2141.6
6/1/1986,3857.5,5711.7,-1854.2
7/1/1986,3172.4,5475.6,-2303.2
8/1/1986,3094.7,5224.8,-2130.1
9/1/1986,4119.4,5571.6,-1452.2
10/1/1986,4175.9,5719,-1543.1
11/1/1986,3911.1,6681.4,-2770.3
12/1/1986,3719,4861.9,-1142.9
1/1/1987,4152.3,5429.9,-1277.6
2/1/1987,4762.8,5929.3,-1166.5
3/1/1987,5258.9,5986,-727.1
4/1/1987,4928.3,5814.4,-886.1
5/1/1987,5055.1,5916,-860.9
6/1/1987,5605.7,6100.8,-495.1
7/1/1987,4715,5321.9,-606.9
8/1/1987,4165.8,5069,-903.2
9/1/1987,4844.7,6094.7,-1250
10/1/1987,5273.1,6573,-1299.9
11/1/1987,5511.8,6723.1,-1211.3
12/1/1987,5540.8,6126.8,-586
1/1/1988,5311.4,5973.5,-662.1
2/1/1988,5710.4,6603.4,-893
3/1/1988,6696.4,7296.5,-600.1
4/1/1988,5988,6842.5,-854.5
5/1/1988,6597.3,7235.5,-638.2
6/1/1988,6373.5,7488,-1114.5
7/1/1988,4740.2,5736.2,-996
8/1/1988,5861.4,6308.5,-447.1
9/1/1988,6159.7,6976.6,-816.9
10/1/1988,6358.7,7338.5,-979.8
11/1/1988,6307.2,7122,-814.8
12/1/1988,5517.8,6476.8,-959
1/1/1989,6101.7,7411.2,-1309.5
2/1/1989,6512,7190.5,-678.5
3/1/1989,7264.1,7697,-432.9
4/1/1989,7027.8,7580.9,-553.1
5/1/1989,7448.3,7984.2,-535.9
6/1/1989,6983.3,7639.5,-656.2
7/1/1989,5172.1,6114.4,-942.3
8/1/1989,6289.3,6825.4,-536.1
9/1/1989,6440.9,7133.9,-693
10/1/1989,6976.1,7847.2,-871.1
11/1/1989,6627.5,7717.5,-1090
12/1/1989,5965.8,6811.3,-845.5
1/1/1990,6377.5,6799,-421.5
2/1/1990,6749.7,6877.7,-128
3/1/1990,8074.9,8275.2,-200.3
4/1/1990,7367.6,7463.4,-95.8
5/1/1990,7933.3,8214.6,-281.3
6/1/1990,7553,8299.1,-746.1
7/1/1990,6126.6,7046.3,-919.7
8/1/1990,6767.5,7162.2,-394.7
9/1/1990,6385.8,7722.5,-1336.7
